year,name,rank,countrycode,networthusbillion,typeofwealth,gender,age,industry,companytype,relationshiptocompany
2001,A Jerrold Perenchio,151,USA,3,executive,male,70,Media,aquired,former chairman and CEO
2014,A. Jerrold Perenchio,663,USA,2.6,executive,male,83,Media,aquired,former chairman and CEO
2001,Abdul Al Rahman  Al Jeraisy,336,SAU,1.5,founder non-finance,male,,Consumer,new,founder
2001,Abdul Aziz Al Ghurair,251,ARE,1.9,inherited,male,47,Money Management,new,relation
1996,Abdul Aziz Al-Sulaiman,404,SAU,1,self-made finance,male,0,Money Management,new,founder
2014,Abdulla Al Futtaim,687,ARE,2.5,inherited,male,,"Retail, Restaurant",new,relation
2014,Abdulla bin Ahmad Al Ghurair,305,ARE,4.8,inherited,male,,Diversified financial,new,relation
2001,Abdullah Al Rajhi,222,SAU,2.1,self-made finance,male,,Money Management,new,founder
2014,Abdullah Al Rajhi,731,SAU,2.4,self-made finance,male,,Money Management,new,founder
2014,Abdulsamad Rabiu,1372,NGA,1.2,founder non-finance,male,54,Consumer,new,founder
1996,Abigail Johnson,145,USA,2.5,inherited,female,34,Money Management,new,relation
2001,Abigail Johnson,30,USA,9.1,inherited,female,39,Money Management,new,relation
2014,Abigail Johnson,50,USA,17.3,inherited,female,52,Money Management,new,relation
1996,Abilio dos Santos Diniz,322,BRA,1.2,inherited,male,59,"Retail, Restaurant",new,relation
2001,Abilio dos Santos Diniz,312,BRA,1.6,inherited,male,64,"Retail, Restaurant",new,relation
2014,Abilio dos Santos Diniz,609,BRA,2.8,inherited,male,77,"Retail, Restaurant",new,relation
2001,Achille Maramotti,222,ITA,2.1,founder non-finance,male,74,Consumer,new,founder
2014,Achmad Hamami,1092,IDN,1.6,founder non-finance,male,83,Non-consumer industrial,new,founder
2014,Adi Godrej,446,IND,3.5,inherited,male,71,Consumer,new,relation
1996,Adolf Merckle,388,DEU,1,inherited,male,61,Technology-Medical,new,relation
2001,Adolf Merckle,222,DEU,2.1,inherited,male,66,Technology-Medical,new,relation
1996,Adrian and John Swire,162,HKG,2.2,inherited,male,0,Money Management,new,relation
2001,Adrian Swire,222,GBR,2.1,inherited,male,70,Diversified financial,new,relation
2014,Aerin Lauder Zinterhofer,1465,USA,1.1,inherited,female,44,Consumer,new,relation
1996,Ahmed Ali Kanoo,383,BHR,1,inherited,male,0,Consumer,new,relation
2014,Ahmet Calik,1465,TUR,1.1,privatized and resources,male,56,Energy,new,relation
2014,Ahmet Nazif Zorlu,1372,TUR,1.2,self-made finance,male,69,Diversified financial,new,founder
2014,Ahsen Ozokur,1143,TUR,1.6,inherited,female,63,Consumer,new,relation
2014,Airat Shaimiev,1465,RUS,1.1,privatized and resources,male,51,Energy,new,owner
2014,Ajay Kalsi,973,IND,1.9,privatized and resources,male,53,Energy,new,founder
2014,Ajay Piramal,1203,IND,1.5,founder non-finance,male,58,Technology-Medical,aquired,founder
1996,Akihiko Otsuka,164,JPN,2.2,inherited,male,0,Technology-Medical,new,relation
2001,Akihiko Otsuka,251,JPN,1.9,inherited,male,,Technology-Medical,new,relation
1996,Akio Morita,156,JPN,2.3,founder non-finance,male,0,Consumer,new,founder
2014,Akio Nitori,1284,JPN,1.3,founder non-finance,male,70,"Retail, Restaurant",new,founder
1996,Akira Mori,60,JPN,3.9,inherited,male,66,Real Estate,new,relation
2001,Akira Mori,130,JPN,3.3,inherited,male,66,Real Estate,new,relation
2014,Akira Mori,354,JPN,4.2,inherited,male,77,Real Estate,new,relation
2014,Alain Bouchard,1036,CAN,1.8,founder non-finance,male,64,"Retail, Restaurant",new,founder
2014,Alain Merieux,396,FRA,3.8,inherited,male,76,Technology-Medical,new,relation
2014,Alain Taravella,1284,FRA,1.3,self-made finance,male,66,Real Estate,new,founder
1996,Alain Wertheimer,187,FRA,2,inherited,male,0,Consumer,new,relation
2001,Alain Wertheimer,70,FRA,5,inherited,male,,Consumer,new,relation
2014,Alain Wertheimer,141,FRA,9,inherited,male,65,Consumer,new,relation
2001,Alan Gerry,182,USA,2.5,founder non-finance,male,71,Media,new,founder
2014,Alan Gerry,1210,USA,1.4,founder non-finance,male,84,Media,new,founder
2014,Alan Howard,1092,GBR,1.6,self-made finance,male,50,Hedge funds,new,founder
2014,Alan Rydge,1540,AUS,1.1,inherited,male,61,Media,new,relation
2014,Albert Blokker,1210,BEL,1.4,inherited,male,68,"Retail, Restaurant",new,relation
2001,Albert Frere,490,BEL,1,self-made finance,male,75,Money Management,aquired,founder
2014,Albert Frere,295,BEL,4.9,self-made finance,male,88,Diversified financial,aquired,founder
2014,Albert Shigaboutdinov,1465,RUS,1.1,privatized and resources,male,59,Energy,new,owner
2001,Albert Ueltschi,452,USA,1.1,founder non-finance,male,83,Other,new,founder
1996,Albert von Thurn und Taxis,258,DEU,1.5,inherited,male,12,Money Management,new,relation
2014,Albert von Thurn und Taxis,1092,DEU,1.6,inherited,male,30,Diversified financial,new,relation
2014,Albert Yeung,1465,HKG,1.1,self-made finance,male,70,Real Estate,new,founder
2014,Alberto Alcocer,1565,ESP,1,self-made finance,male,71,Diversified financial,aquired,owner
1996,Alberto Bailleres Gonzalez,225,MEX,1.8,inherited,male,63,Mining and metals,privatization,relation
2001,Alberto Bailleres Gonzalez,251,MEX,1.9,inherited,male,68,Mining and metals,privatization,relation
2014,Alberto Bailleres Gonzalez,90,MEX,12.4,inherited,male,82,Mining and metals,privatization,relation
2014,Alberto Bombassei,1372,ITA,1.2,executive,male,73,Consumer,new,relation
